x,y,z,energy
10464,3568,13072,17120.2542
10256,5696,16784,20477.61236
11120,1504,11232,15876.84603
10512,4352,10832,15709.05064
12784,2816,8752,15746.6827
9344,3040,9984,14008.29012
12144,7152,80,14093.766
16608,7136,20112,27041.46268
28720,20624,19840,40543.96843
9472,-3552,5808,11664.83399
5232,-4880,-1488,7307.692385
3760,-2032,2112,4767.301962
12560,3072,-2304,13133.89508
24464,22320,14400,36111.35135
19216,10096,16976,27556.64072
6208,1072,112,6300.872321
1456,2560,-1728,3414.60393
80,4096,-3968,5703.388467
2704,7024,-8336,11231.07689
2240,3712,-2064,4801.73302
13936,7328,2400,15927.07381
25248,12384,22992,36324.33102
30240,23616,17888,42333.83517
18096,9088,15824,25699.33727
16096,6944,5344,18326.44777
11344,4160,6368,13658.08771
3440,-1632,2768,4707.318557
4032,-2992,-2848,5772.364507
8336,-2736,-2096,9020.410634
19200,2112,7696,20792.52173
21088,5824,17184,27819.28425
32304,16704,13840,38911.66447
20864,9920,15120,27610.27519
11856,3872,2896,12804.05936
3536,-2096,-96,4111.657573
-384,2912,-6352,6998.221488
2064,6736,-7616,10374.83725
4128,6192,-2544,7864.679523
11040,4400,2592,12163.88359
18992,6384,17952,26902.15278
16704,19792,4272,26248.74976
26016,27520,18576,42181.16205
16624,21104,21024,34113.70352
24080,11744,18960,32821.4798
14304,4768,6864,16566.6151
4768,-2112,3168,6101.687635
4560,-624,-3280,5651.670196
13232,1200,4720,14099.79518
25296,6416,11152,28379.91853
31728,6320,8752,33514.26395
29968,14672,14704,36463.08029
24160,21680,8560,33570.84449
14480,9168,12608,21276.37864
4736,3280,1392,5926.698913
448,3152,-4496,5509.067435
2496,3248,-4384,5999.914666
2816,6112,-4608,8155.983325
6816,9472,2864,12015.78695
9488,7680,4288,12937.98624
10864,11632,4352,16500.60072
12384,10816,4112,16948.68302
11504,10288,5984,16552.74044
11232,9584,6624,16182.9619
11296,9616,6944,16379.44468
